(0, [1, 3, 4, 5, 6, 7, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22], 1)
(1, [2072, 2073, 2074, 2075, 2076, 2077, 2078, 2079, 2081, 2082, 2089, 2090, 2091, 2092, 2093, 2094], 1)
(2, [4144, 4148, 4149, 4150, 4151, 4152, 4153, 4154, 4155, 4156, 4157, 4158, 4159, 4160, 4161, 4163], 1)
(3, [6215, 6216, 6218, 6221, 6224, 6225, 6226, 6227, 6230, 6231, 6232, 6237, 6239, 6241, 6243, 6245], 1)
(4, [8294, 8295, 8296, 8297, 8298, 8302, 8303, 8304, 8309, 8310, 8311, 8312, 8314, 8315, 8316, 8318], 1)
(5, [10370, 10374, 10375, 10377, 10379, 10380, 10381, 10383, 10384, 10387, 10388, 10394, 10397, 10398, 10400, 10401], 1)
(6, [12450, 12454, 12455, 12456, 12457, 12462, 12463, 12464, 12465, 12466, 12467, 12469, 12470, 12471, 12472, 12473], 1)
(7, [14522, 14524, 14525, 14527, 14528, 14530, 14531, 14532, 14534, 14535, 14536, 14537, 14538, 14540, 14542, 14546], 1)
(8, [16595, 16596, 16598, 16604, 16605, 16607, 16608, 16610, 16612, 16613, 16618, 16619, 16624, 16625, 16628, 16629], 1)
(9, [18678, 18679, 18681, 18682, 18683, 18684, 18685, 18688, 18689, 18691, 18693, 18696, 18697, 18698, 18699, 18702], 1)
(10, [20756, 20764, 20766, 20767, 20773, 20774, 20775, 20776, 20777, 20778, 20779, 20780, 20784, 20787, 20789, 20790], 1)
(11, [22839, 22840, 22841, 22842, 22847, 22848, 22849, 22853, 22854, 22855, 22856, 22858, 22859, 22860, 22861, 22862], 1)
(12, [24911, 24912, 24913, 24914, 24915, 24916, 24922, 24924, 24927, 24928, 24929, 24930, 24931, 24934, 24936, 24937], 1)
(13, [26986, 26987, 26989, 26990, 26991, 26992, 26993, 26996, 26998, 26999, 27001, 27002, 27003, 27005, 27006, 27007], 1)
(14, [29057, 29058, 29059, 29065, 29066, 29070, 29071, 29077, 29079, 29080, 29082, 29083, 29084, 29087, 29088, 29089], 1)
(15, [31138, 31139, 31140, 31142, 31144, 31145, 31146, 31148, 31149, 31150, 31152, 31153, 31154, 31156, 31157, 31158], 1)
(16, [33208, 33210, 33212, 33213, 33215, 33216, 33217, 33219, 33220, 33221, 33222, 33223, 33224, 33226, 33228, 33230], 1)
(17, [35280, 35281, 35282, 35284, 35285, 35286, 35288, 35289, 35290, 35291, 35293, 35296, 35298, 35299, 35301, 35302], 1)
(18, [37351, 37352, 37353, 37354, 37356, 37357, 37358, 37359, 37360, 37361, 37362, 37365, 37366, 37367, 37368, 37369], 1)
(19, [39420, 39421, 39422, 39427, 39428, 39429, 39430, 39433, 39436, 39442, 39445, 39446, 39447, 39449, 39454, 39457], 1)
(20, [41506, 41509, 41510, 41511, 41513, 41515, 41516, 41517, 41518, 41519, 41521, 41523, 41524, 41527, 41528, 41531], 1)
(21, [43581, 43584, 43588, 43590, 43591, 43593, 43595, 43604, 43606, 43607, 43608, 43609, 43610, 43612, 43614, 43617], 1)
(22, [45667, 45669, 45671, 45672, 45673, 45675, 45678, 45680, 45683, 45688, 45689, 45690, 45691, 45692, 45694, 45695], 1)
(23, [47744, 47745, 47747, 47748, 47749, 47750, 47751, 47752, 47755, 47756, 47758, 47759, 47760, 47761, 47762, 47763], 1)
(24, [49812, 49813, 49814, 49815, 49816, 49819, 49822, 49823, 49826, 49827, 49828, 49829, 49830, 49832, 49833, 49835], 1)
(25, [51884, 51887, 51888, 51890, 51891, 51892, 51894, 51895, 51896, 51898, 51901, 51902, 51903, 51908, 51909, 51911], 1)
